index,package,service,method,fullMethod,requestType,responseType,streamType,clientType,auth,registeredOnListener,listenerBinding,destructiveLevel,requiredVariables,precondition,expectedResult,evidenceToSave,protoFile,grpcurlExample,evidenceRelativePath
11,avf.internal.v1,InternalTelemetryQueryService,GetMachineIncidentSummary,/avf.internal.v1.InternalTelemetryQueryService/GetMachineIncidentSummary,GetMachineIncidentSummaryRequest,GetMachineIncidentSummaryResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/machine_query.proto,"jq -c "".[10]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalTelemetryQueryService/GetMachineIncidentSummary""",grpc/evidence/011_InternalTelemetryQueryService_GetMachineIncidentSummary.json
12,avf.machine.v1,MachineActivationService,ClaimActivation,/avf.machine.v1.MachineActivationService/ClaimActivation,ClaimActivationRequest,ClaimActivationResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/machine_activation.proto,"jq -c "".[11]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineActivationService/ClaimActivation""",grpc/evidence/012_MachineActivationService_ClaimActivation.json
13,avf.machine.v1,MachineAuthService,ActivateMachine,/avf.machine.v1.MachineAuthService/ActivateMachine,ActivateMachineRequest,ActivateMachineResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/auth.proto,"jq -c "".[12]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineAuthService/ActivateMachine""",grpc/evidence/013_MachineAuthService_ActivateMachine.json
14,avf.machine.v1,MachineAuthService,ClaimActivation,/avf.machine.v1.MachineAuthService/ClaimActivation,MachineAuthServiceClaimActivationRequest,MachineAuthServiceClaimActivationResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/auth.proto,"jq -c "".[13]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineAuthService/ClaimActivation""",grpc/evidence/014_MachineAuthService_ClaimActivation.json
15,avf.machine.v1,MachineAuthService,RefreshMachineToken,/avf.machine.v1.MachineAuthService/RefreshMachineToken,MachineAuthServiceRefreshMachineTokenRequest,MachineAuthServiceRefreshMachineTokenResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/auth.proto,"jq -c "".[14]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineAuthService/RefreshMachineToken""",grpc/evidence/015_MachineAuthService_RefreshMachineToken.json
16,avf.machine.v1,MachineBootstrapService,AckConfigVersion,/avf.machine.v1.MachineBootstrapService/AckConfigVersion,AckConfigVersionRequest,AckConfigVersionResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/bootstrap.proto,"jq -c "".[15]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineBootstrapService/AckConfigVersion""",grpc/evidence/016_MachineBootstrapService_AckConfigVersion.json
17,avf.machine.v1,MachineBootstrapService,CheckForUpdates,/avf.machine.v1.MachineBootstrapService/CheckForUpdates,CheckForUpdatesRequest,CheckForUpdatesResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/bootstrap.proto,"jq -c "".[16]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineBootstrapService/CheckForUpdates""",grpc/evidence/017_MachineBootstrapService_CheckForUpdates.json
18,avf.machine.v1,MachineBootstrapService,CheckIn,/avf.machine.v1.MachineBootstrapService/CheckIn,MachineBootstrapServiceCheckInRequest,MachineBootstrapServiceCheckInResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/bootstrap.proto,"jq -c "".[17]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineBootstrapService/CheckIn""",grpc/evidence/018_MachineBootstrapService_CheckIn.json
19,avf.machine.v1,MachineBootstrapService,GetBootstrap,/avf.machine.v1.MachineBootstrapService/GetBootstrap,GetBootstrapRequest,GetBootstrapResponse,unary,machine,machine bearer token,True,machine_grpc_listener,READ_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/bootstrap.proto,"jq -c "".[18]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineBootstrapService/GetBootstrap""",grpc/evidence/019_MachineBootstrapService_GetBootstrap.json
20,avf.machine.v1,MachineCatalogService,AckCatalogVersion,/avf.machine.v1.MachineCatalogService/AckCatalogVersion,AckCatalogVersionRequest,AckCatalogVersionResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/catalog.proto,"jq -c "".[19]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCatalogService/AckCatalogVersion""",grpc/evidence/020_MachineCatalogService_AckCatalogVersion.json
21,avf.machine.v1,MachineCatalogService,GetCatalogDelta,/avf.machine.v1.MachineCatalogService/GetCatalogDelta,GetCatalogDeltaRequest,GetCatalogDeltaResponse,unary,machine,machine bearer token,True,machine_grpc_listener,READ_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/catalog.proto,"jq -c "".[20]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCatalogService/GetCatalogDelta""",grpc/evidence/021_MachineCatalogService_GetCatalogDelta.json
22,avf.machine.v1,MachineCatalogService,GetCatalogSnapshot,/avf.machine.v1.MachineCatalogService/GetCatalogSnapshot,GetCatalogSnapshotRequest,GetCatalogSnapshotResponse,unary,machine,machine bearer token,True,machine_grpc_listener,READ_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/catalog.proto,"jq -c "".[21]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCatalogService/GetCatalogSnapshot""",grpc/evidence/022_MachineCatalogService_GetCatalogSnapshot.json
23,avf.machine.v1,MachineCatalogService,GetMediaManifest,/avf.machine.v1.MachineCatalogService/GetMediaManifest,GetMediaManifestRequest,GetMediaManifestResponse,unary,machine,machine bearer token,True,machine_grpc_listener,READ_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/catalog.proto,"jq -c "".[22]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCatalogService/GetMediaManifest""",grpc/evidence/023_MachineCatalogService_GetMediaManifest.json
24,avf.machine.v1,MachineCatalogService,GetSaleCatalog,/avf.machine.v1.MachineCatalogService/GetSaleCatalog,GetCatalogSnapshotRequest,GetCatalogSnapshotResponse,unary,machine,machine bearer token,True,machine_grpc_listener,READ_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/catalog.proto,"jq -c "".[23]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCatalogService/GetSaleCatalog""",grpc/evidence/024_MachineCatalogService_GetSaleCatalog.json
25,avf.machine.v1,MachineCatalogService,SyncCatalogBundle,/avf.machine.v1.MachineCatalogService/SyncCatalogBundle,SyncCatalogBundleRequest,SyncCatalogBundleResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/catalog.proto,"jq -c "".[24]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCatalogService/SyncCatalogBundle""",grpc/evidence/025_MachineCatalogService_SyncCatalogBundle.json
26,avf.machine.v1,MachineCatalogService,SyncSaleCatalog,/avf.machine.v1.MachineCatalogService/SyncSaleCatalog,GetCatalogSnapshotRequest,GetCatalogSnapshotResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/catalog.proto,"jq -c "".[25]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCatalogService/SyncSaleCatalog""",grpc/evidence/026_MachineCatalogService_SyncSaleCatalog.json
27,avf.machine.v1,MachineCommandService,AckCommand,/avf.machine.v1.MachineCommandService/AckCommand,AckCommandRequest,AckCommandResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/command.proto,"jq -c "".[26]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCommandService/AckCommand""",grpc/evidence/027_MachineCommandService_AckCommand.json
28,avf.machine.v1,MachineCommandService,GetAssignedUpdate,/avf.machine.v1.MachineCommandService/GetAssignedUpdate,GetAssignedUpdateRequest,GetAssignedUpdateResponse,unary,machine,machine bearer token,True,machine_grpc_listener,READ_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/command.proto,"jq -c "".[27]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCommandService/GetAssignedUpdate""",grpc/evidence/028_MachineCommandService_GetAssignedUpdate.json
29,avf.machine.v1,MachineCommandService,GetPendingCommands,/avf.machine.v1.MachineCommandService/GetPendingCommands,GetPendingCommandsRequest,GetPendingCommandsResponse,unary,machine,machine bearer token,True,machine_grpc_listener,READ_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/command.proto,"jq -c "".[28]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCommandService/GetPendingCommands""",grpc/evidence/029_MachineCommandService_GetPendingCommands.json
30,avf.machine.v1,MachineCommandService,RejectCommand,/avf.machine.v1.MachineCommandService/RejectCommand,RejectCommandRequest,RejectCommandResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/command.proto,"jq -c "".[29]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCommandService/RejectCommand""",grpc/evidence/030_MachineCommandService_RejectCommand.json
31,avf.machine.v1,MachineCommandService,ReportDiagnosticBundleResult,/avf.machine.v1.MachineCommandService/ReportDiagnosticBundleResult,ReportDiagnosticBundleResultRequest,ReportDiagnosticBundleResultResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/command.proto,"jq -c "".[30]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCommandService/ReportDiagnosticBundleResult""",grpc/evidence/031_MachineCommandService_ReportDiagnosticBundleResult.json
32,avf.machine.v1,MachineCommandService,ReportUpdateStatus,/avf.machine.v1.MachineCommandService/ReportUpdateStatus,ReportUpdateStatusRequest,ReportUpdateStatusResponse,unary,machine,machine bearer token,True,machine_grpc_listener,DESTRUCTIVE_CANARY_ONLY,grpcHost;grpcPort;machineToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/machine/v1/command.proto,"jq -c "".[31]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${machineToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.machine.v1.MachineCommandService/ReportUpdateStatus""",grpc/evidence/032_MachineCommandService_ReportUpdateStatus.json
