index,method,path,operationId,tag,summary,auth,requestBody,pathParams,queryParams,headers,successResponses,errorResponses,testType,destructiveLevel,canRunOnProductionPublic,requiresCanaryData,requiredVariables,precondition,expectedResult,evidenceToSave,postmanFolder,postmanRequestName
28,PATCH,/v1/admin/auth/users/{accountId},DocOpV1AdminAuthUsersPatch,Auth Admin,Patch API account (admin),bearer,yes,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,409,429,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PATCH /v1/admin/auth/users/{accountId}
29,POST,/v1/admin/auth/users/{accountId}/activate,DocOpV1AdminAuthUsersActivate,Auth Admin,Activate API account (admin),bearer,no,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,429,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/auth/users/{accountId}/activate
30,POST,/v1/admin/auth/users/{accountId}/deactivate,DocOpV1AdminAuthUsersDeactivate,Auth Admin,Deactivate API account (admin),bearer,no,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,429,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/auth/users/{accountId}/deactivate
31,POST,/v1/admin/auth/users/{accountId}/reset-password,DocOpV1AdminAuthUsersResetPassword,Auth Admin,Reset password (admin),bearer,yes,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,429,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/auth/users/{accountId}/reset-password
32,POST,/v1/admin/auth/users/{accountId}/revoke-sessions,DocOpV1AdminAuthUsersRevokeSessions,Auth Admin,Revoke API account sessions (admin),bearer,no,accountId,,Authorization;X-Request-ID;X-Correlation-ID,204,"400,401,403,404",regression,DANGEROUS_PRODUCTION_DO_NOT_RUN,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/auth/users/{accountId}/revoke-sessions
33,PATCH,/v1/admin/auth/users/{accountId}/roles,DocOpV1AdminAuthUsersPatchRoles,Auth Admin,Replace API account roles — PATCH alias,bearer,yes,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PATCH /v1/admin/auth/users/{accountId}/roles
34,POST,/v1/admin/auth/users/{accountId}/roles,DocOpV1AdminAuthUsersPostRoles,Auth Admin,Replace API account roles (admin),bearer,yes,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/auth/users/{accountId}/roles
35,PUT,/v1/admin/auth/users/{accountId}/roles,DocOpV1AdminAuthUsersPutRoles,Auth Admin,Replace API account roles (admin),bearer,yes,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,429,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PUT /v1/admin/auth/users/{accountId}/roles
36,GET,/v1/admin/auth/users/{accountId}/sessions,DocOpV1AdminAuthUsersSessions,Auth Admin,List sessions for an API account (admin),bearer,no,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,,smoke,READ_ONLY,partial,no,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/auth/users/{accountId}/sessions
37,PATCH,/v1/admin/auth/users/{accountId}/status,DocOpV1AdminAuthUsersPatchStatus,Auth Admin,Patch API account status only,bearer,yes,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PATCH /v1/admin/auth/users/{accountId}/status
38,GET,/v1/admin/brands,DocOpV1AdminBrandsList,Catalog Admin,List brands,bearer,no,,limit;offset,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,500",smoke,READ_ONLY,partial,no,accessToken;baseUrl;limit;offset,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/brands
39,POST,/v1/admin/brands,DocOpV1AdminBrandCreate,Catalog Admin,Create brand,bearer,yes,,,Authorization;X-Request-ID;X-Correlation-ID;Idempotency-Key,200,"400,401,403,409,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/brands
40,DELETE,/v1/admin/brands/{brandId},DocOpV1AdminBrandDelete,Catalog Admin,Deactivate brand,bearer,no,brandId,,Authorization;X-Request-ID;X-Correlation-ID;Idempotency-Key,200,,regression,DANGEROUS_PRODUCTION_DO_NOT_RUN,no,yes,accessToken;baseUrl;brandId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,DELETE /v1/admin/brands/{brandId}
41,PATCH,/v1/admin/brands/{brandId},DocOpV1AdminBrandPatch,Catalog Admin,Update brand (PATCH),bearer,yes,brandId,,Authorization;X-Request-ID;X-Correlation-ID;Idempotency-Key,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl;brandId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PATCH /v1/admin/brands/{brandId}
42,PUT,/v1/admin/brands/{brandId},DocOpV1AdminBrandReplace,Catalog Admin,Update brand,bearer,yes,brandId,,Authorization;X-Request-ID;X-Correlation-ID;Idempotency-Key,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl;brandId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PUT /v1/admin/brands/{brandId}
43,GET,/v1/admin/categories,DocOpV1AdminCategoriesList,Catalog Admin,List categories,bearer,no,,limit;offset,Authorization;X-Request-ID;X-Correlation-ID,200,,smoke,READ_ONLY,partial,no,accessToken;baseUrl;limit;offset,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/categories
44,POST,/v1/admin/categories,DocOpV1AdminCategoryCreate,Catalog Admin,Create category,bearer,yes,,,Authorization;X-Request-ID;X-Correlation-ID;Idempotency-Key,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/categories
45,DELETE,/v1/admin/categories/{categoryId},DocOpV1AdminCategoryDelete,Catalog Admin,Deactivate category,bearer,no,categoryId,,Authorization;X-Request-ID;X-Correlation-ID;Idempotency-Key,200,,regression,DANGEROUS_PRODUCTION_DO_NOT_RUN,no,yes,accessToken;baseUrl;categoryId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,DELETE /v1/admin/categories/{categoryId}
46,PATCH,/v1/admin/categories/{categoryId},DocOpV1AdminCategoryPatch,Catalog Admin,Update category (PATCH),bearer,yes,categoryId,,Authorization;X-Request-ID;X-Correlation-ID;Idempotency-Key,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl;categoryId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PATCH /v1/admin/categories/{categoryId}
47,PUT,/v1/admin/categories/{categoryId},DocOpV1AdminCategoryReplace,Catalog Admin,Update category,bearer,yes,categoryId,,Authorization;X-Request-ID;X-Correlation-ID;Idempotency-Key,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl;categoryId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PUT /v1/admin/categories/{categoryId}
48,GET,/v1/admin/commands,DocOpV1AdminCommandsList,Machine Admin,List machine commands (admin),bearer,no,,machine_id;status;from;to;limit;offset,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,500",smoke,READ_ONLY,partial,no,accessToken;baseUrl;from;limit;machineId;offset;status;to,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,GET /v1/admin/commands
49,GET,/v1/admin/commands/{commandId},DocOpV1AdminCommandGet,Machine Admin,Get command ledger row by id,bearer,no,commandId,,Authorization;X-Request-ID;X-Correlation-ID,200,,smoke,READ_ONLY,partial,no,accessToken;baseUrl;commandId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,GET /v1/admin/commands/{commandId}
50,POST,/v1/admin/commands/{commandId}/cancel,DocOpV1AdminCommandCancel,Machine Admin,Cancel pending command,bearer,no,commandId,,Idempotency-Key;Authorization;X-Request-ID;X-Correlation-ID,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl;commandId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,POST /v1/admin/commands/{commandId}/cancel
51,POST,/v1/admin/commands/{commandId}/retry,DocOpV1AdminCommandRetry,Machine Admin,Retry failed command dispatch,bearer,no,commandId,,Idempotency-Key;Authorization;X-Request-ID;X-Correlation-ID,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl;commandId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,POST /v1/admin/commands/{commandId}/retry
52,GET,/v1/admin/commerce/reconciliation,DocOpV1AdminCommerceReconciliationList,Commerce,List commerce reconciliation cases,bearer,no,,status;case_type;limit;offset,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,500",smoke,READ_ONLY,partial,no,accessToken;baseUrl;caseType;limit;offset;status,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,08_Commerce_Order_Checkout,GET /v1/admin/commerce/reconciliation
53,GET,/v1/admin/commerce/reconciliation/{caseId},DocOpV1AdminCommerceReconciliationGet,Commerce,Get commerce reconciliation case,bearer,no,caseId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,500",smoke,READ_ONLY,partial,no,accessToken;baseUrl;caseId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,08_Commerce_Order_Checkout,GET /v1/admin/commerce/reconciliation/{caseId}
54,POST,/v1/admin/commerce/reconciliation/{caseId}/ignore,DocOpV1AdminCommerceReconciliationIgnore,Commerce,Ignore commerce reconciliation case,bearer,yes,caseId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl;caseId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,08_Commerce_Order_Checkout,POST /v1/admin/commerce/reconciliation/{caseId}/ignore
55,POST,/v1/admin/commerce/reconciliation/{caseId}/request-refund,DocOpV1AdminCommerceReconciliationRequestRefund,Commerce,Request refund from reconciliation case,bearer,yes,caseId,,Idempotency-Key;Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,500",regression,DANGEROUS_PRODUCTION_DO_NOT_RUN,no,yes,accessToken;baseUrl;caseId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,10_Vending_Sale_Refund_Failure,POST /v1/admin/commerce/reconciliation/{caseId}/request-refund
56,POST,/v1/admin/commerce/reconciliation/{caseId}/resolve,DocOpV1AdminCommerceReconciliationResolve,Commerce,Resolve commerce reconciliation case,bearer,yes,caseId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl;caseId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,08_Commerce_Order_Checkout,POST /v1/admin/commerce/reconciliation/{caseId}/resolve
57,GET,/v1/admin/feature-flags,DocOpV1AdminFeatureFlagsList,Fleet,List company feature flags,bearer,no,,limit;offset,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,500",smoke,READ_ONLY,partial,no,accessToken;baseUrl;limit;offset,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,GET /v1/admin/feature-flags
58,POST,/v1/admin/feature-flags,DocOpV1AdminFeatureFlagsPost,Fleet,Create a feature flag,bearer,yes,,,Authorization;X-Request-ID;X-Correlation-ID,201,"400,401,403,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,POST /v1/admin/feature-flags
